no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
952,C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(=N1)NNC1=NC2=NC=C(C[C@H](CC#C)C3=CC=C(,)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N=C2C(=N1)NNC1=NC2=NC=C(C[C@H](CC#C)C3=CC=C(C=C3),0.53,1.02,2.7,2.74,15,9.51,0.33,0.25,0.28,0.01,0.43,0.44,1.18,0.98,-0.48,-0.60
953,C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(=N1)N,C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N=C2C(=N1)N,1.5,1.19,6,4.47,15,9.48,0.33,0.22,0.18,0.08,0.78,0.65,1.18,0.98,-0.48,-0.66
954,C[N+]1=C(C=CC=C1)C=NO,C[N+]1=C(C=CC=C1)\C=N/O,0.8,0.92,9,7.32,1.4,2.22,1,0.85,0.10,-0.04,0.95,0.86,0.15,0.35,0.00,-0.07
955,CCCN[C@H]1CCC2=C(C1)SC(=N2)NCC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C,CCC[NH2+][C@H]1CCC2=C(C1)SC(=N2)NCC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[,7,5.56,7.2,7.11,12.4,8.30,0.85,0.81,0.85,0.75,0.86,0.85,1.09,0.92,-0.07,-0.09
956,2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12COC1=CC2=NC(=NC(=C2C=C1OC)N)N3CC,C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@H]12COC1=C(OC)C=C2C(=NC(=NC2=C1)N3CCN(CC3)C,0.46,0.58,14,10.70,0.78,1.12,0.5,0.27,0.34,-0.24,1.15,1.03,-0.11,0.05,-0.30,-0.57
957,N(CC3)C(=O)C4=CC=CO4C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4,(=O)C4=CC=CO4)NC[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=,0.73,0.92,4.7,3.89,2,3.16,0.06,0.07,0.14,-0.04,0.67,0.59,0.30,0.50,-1.22,-1.16
958,=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COCOC1=CC=CC(=C1C2=CC(=N[NH]2)NC3=C,O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COCOC1=C(C2=CC(=N[NH]2)NC3=NC=C(N=C3)C#N),0.86,0.68,2.9,3.61,3.4,2.87,0.25,0.21,0.07,-0.17,0.46,0.56,0.53,0.46,-0.60,-0.69
961,N=C(C=N3)C#N)OCCCNCC[N+]1(CC)CCC([C@@H]1C)=C(C2=CC=C,C(=CC=C1)OCCC[NH3+]CC[N+]1(CC)CCC([C@@H]1C)=C(C2=CC=CC=C2),22.75,17.30,34,18.83,12.54,7.29,,,1.36,1.24,1.53,1.27,1.10,0.86,,
962,C=C2)C3=CC=CC=C3,C3=CC=CC=C3,1.87,2.36,12.5,10.06,2.13,4.91,,,0.27,0.37,1.10,1.00,0.33,0.69,,
963,CCCNC(C)C(=O)NC1=CC=CC=C1C964COC1=CC(=C2N=CC=CC2=C1)NC(C)CCCNCCCN(CCC)[S](=O)(=O)C1=CC=C(C=C1)C(O,CCC[NH2+][C@H](C)C(=O)NC1=C(C)C=CC=C1COC1=CC2=CC=CN=C2C(=C1)N[C@@H](C)CCC[NH3+],3.7,2.69,29,16.24,1.8,2.67,0.72,0.41,0.57,0.43,1.46,1.21,0.26,0.43,-0.14,-0.39
965,)=O,CCCN(CCC)[S](=O)(=O)C1=CC=C(C=C1)C([O-])=O0.13,,0.16,0.25,0.56,5.9,4.30,0.13,0.13,0.89,-0.79,-0.60,-0.25,0.77,0.63,-0.89,-0.90
966,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1CN1CCN(CCCN2C3=CC=CC=C3SC4=CC=C(,CC[NH+](CC)CCNC(=O)C1=CC=C(N)C=C1,2.2,2.69,10,9.75,3.1,3.08,0.84,0.68,0.34,0.43,1.00,0.99,0.49,0.49,-0.08,-0.17
967,OC(CCN1CCCC1)(C2CCCCC2)C3=CC=CC=C,C4)C=CC=C3)CC1O[C@](CC[NH+]1CCCC1)(C2CCCCC2)C3=CC=CC=,22,12.95,16,13.51,9,11.31,,,1.34,1.11,1.20,1.13,0.95,1.05,,
968,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C,C3C[NH+](C)CCCN1C2=C(SC3=C1C=CC=C3)C=CC=C,0.74,2.71,0.86,2.30,12,11.86,,,0.13,0.43,-0.07,0.36,1.08,1.07,,
969,CC(CN1C2=CC=CC=C2SC3=CC=CC=C13)N(,C[C@H](CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)[N,8.1,7.80,14,12.59,7.9,15.15,0.11,0.11,0.91,0.89,1.15,1.10,0.90,1.18,-0.96,-0.97
970,C)CCCCNCC(O)COC1=CC=CC=C1C(=O)CCC2=,H+](C)CCCC[NH2+]C[C@H](O)COC1=C(C=CC=C1)C(=O)C,14,7.94,14,12.51,14,14.51,0.09,0.07,1.15,0.90,1.15,1.10,1.15,1.16,-1.05,-1.13
971,CC=CC=C2972CCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)CCCCOC(C(=O)OC1CCN(C)CC1)(C2=CC=CC=,CC2=CC=CC=C2CCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)CCCCOC(C(=O)OC1CC[NH+](C)CC1)(C2=CC=CC=C,2.2,2.41,16,13.45,2.1,2.71,0.038,0.05,0.34,0.38,1.20,1.13,0.32,0.43,-1.42,-1.28
973,C2)C3=CC=CC=C3,2)C3=CC=CC=C3,2.73,3.22,2.94,4.76,15.2,12.90,0.1,0.08,0.44,0.51,0.47,0.68,1.18,1.11,-1.00,-1.09
974,CC(C)C1=CC=CC(=C1O)C(C)CCCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](,CC(C)C1=C(O)C(=CC=C1)C(C)CCCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)C[N,4.7,3.73,36,17.88,3.2,4.08,0.016,0.03,0.67,0.57,1.56,1.25,0.51,0.61,-1.80,-1.54
975,C)CN(C)C)C2=CC=CC=C2976CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,H+](C)C)C2=CC=CC=C2CC(C)[NH2+]C[C@H](O)COC1=C2C=CC=CC2=CC=C1,12,9.53,15,10.80,18,14.13,0.24,0.10,1.08,0.98,1.18,1.03,1.26,1.15,-0.62,-1.00
977,CCCC1=CC(=O)NC(=S)N1CC(C)N1C(=O)N=C(C2=CC=CC=C2)C3=C1C,CCCC1=CC(=O)NC(=S)N1CC(C)N1C(=O)N=C(C2=CC=CC=C2)C3=C1C=C(C)C,0.34,0.43,3.1,3.90,1.3,1.89,0.18,0.26,0.47,-0.37,0.49,0.59,0.11,0.28,-0.74,-0.59
978,=C(C)C=C3979CC(O)C[N]1C=NC2=C1C(=O)N(C)C(=O)N2CC[C@@H](O)C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C0.59COCCCN1CCC(CC1)NC(=O)C2=CC(=C(N)C3,=C3COCCC[NH+]1CCC(CC1)NC(=O)C2=C3OCCC3=C(,0.52,1.24,9.45,4.93,1.27,3.15,0.02,0.05,0.28,0.09,0.98,0.69,0.10,0.50,-1.70,-1.34
980,CC1=CC(=C2C(=O)C3=C(O)C=C(O)C4=C5C(,CC1=C2C3=C(CO)C=C(O)C4=C3C5=C6C2=C(C(=C1,8.73,6.93,4.55,5.03,22.5,13.58,0.7,0.54,0.94,0.84,0.66,0.70,1.35,1.13,-0.15,-0.27
981,=CC(=C6C(=O)C7=C(O)C=C(CO)C8=C7C(=C56)C(=C34)C2=C18)O)O)O,)O)C(=O)C7=C6C(=C(O)C=C7O)C8=C5C(=C(O)C=C8O)C4=O,0.56,0.70,0.62,0.85,20,20.86,,,0.25,-0.15,-0.21,-0.07,1.30,1.32,,
982,O=NNC1=NC=CN=C1,O=NNC1=NC=CN=C1,0.31,0.39,15.13,9.50,0.38,0.71,,,0.51,-0.41,1.18,0.98,-0.42,-0.15,,
983,CN(C)C(=O)OC1=CC=C[N+](=C1)COC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(,CN(C)C(=O)OC1=C[N+](=CC=C1)COC1=CC2=C(C(=C1)O)C(=O)C(=C(O2)C3=CC(=C(O,1.1,1.44,9.6,7.46,1.5,2.22,1,0.82,0.04,0.16,0.98,0.87,0.18,0.35,0.00,-0.09
985,O)C(=C3)O)O)OCCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC3,)C=C3)O)OCC[NH+](CC)CCC[C@@H](C)NC1=C2C=C(OC)C=,0.12,0.15,11,7.25,0.6,1.12,0.009,0.02,0.92,-0.82,1.04,0.86,-0.22,0.05,-2.05,-1.65
986,C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O),C[C@H]([NH2+][C@@H](CCC1=CC=CC=C1)C([O-,45,46.60,5.1,5.65,120,57.56,0.13,0.10,1.65,1.67,0.71,0.75,2.08,1.76,-0.89,-0.99
987,=O)C(=O)N2CC3=CC=CC=C3C[C@H]2C(O)=COC1=CC=C2N=CC=C([C@H](O)[C@H]3C[,])=O)C(=O)N2CC3=C(C[C@H]2C([O-])=O)C=CC=C3COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]3C[,0.13,0.16,0.93,1.36,2.3,2.97,0.32,0.23,0.89,-0.79,-0.03,0.14,0.36,0.47,-0.49,-0.63
988,C@@H]4CCN3C[C@@H]4C=C)C2=C1COC1=CC=C2N=CC=C([C@@H](O)[C@@H],C@H]4CC[NH+]3C[C@@H]4C=CCOC1=CC2=C(C=CN=C2C=C1)[C@@H](O)[C@@H,2.9,4.01,4,4.03,6.6,7.61,0.26,0.31,0.46,0.60,0.60,0.61,0.82,0.88,-0.59,-0.51
989,3C[C@@H]4CCN3C[C@@H]4C=C)C2=C1CCN1CCC[C@H]1CNC(=O)C2=C(OC)C(=CC,]3C[C@H]4CC[NH+]3C[C@@H]4C=CCC[NH+]1CCC[C@@H]1CNC(=O)C2=C(OC)C(=CC(,1.8,3.92,1.9,3.50,11,7.86,0.3,0.30,0.26,0.59,0.28,0.54,1.04,0.90,-0.52,-0.53
992,OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OC,OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCC[NH+,1.1,1.38,1.2,2.65,14,10.29,0.06,0.10,0.04,0.14,0.08,0.42,1.15,1.01,-1.22,-0.98
993,CN4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5CN(CC1=CC2=C(NC(=NC2=O)C)C=C1)C3=C,]4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5CN(CC1=CC2=C(NC(=NC2=O)C)C=C1)C3=CC=C(S,7.5,5.96,10.8,9.67,12.1,11.85,0.05,0.03,0.88,0.78,1.03,0.99,1.08,1.07,-1.30,-1.53
994,C=C(S3)C(=O)N[C@@H](CCC(O)=O)C(O)=OCCC(=O)NCC[C@@H]1CCC2=CC=C3OCCC,3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O,6.57,2.45,0.9,1.24,140,24.82,0.05,0.07,0.82,0.39,-0.05,0.09,2.15,1.39,-1.30,-1.16
995,3=C12CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N](=,CCC(=O)NCC[C@H]1CCC2=C1C3=C(OCC3)C=C2CN\C(NCCSCC1=CC=C(C[NH+](C)C)O1)=C/[N+]([,1.05,1.32,13.1,10.72,1.9,2.37,0.2,0.19,0.02,0.12,1.12,1.03,0.28,0.38,-0.70,-0.72
996,O)=OCOC1=C(OC[C@H](O)CN2CCN(CC2)CC(=O),O-])=OCOC1=C(OC[C@H](O)C[NH+]2CC[NH+](CC2)CC(=,1.2,1.33,9.6,9.27,2.1,2.20,0.95,0.73,0.08,0.12,0.98,0.97,0.32,0.34,-0.02,-0.14
997,NC3=C(C)C=CC=C3C)C=CC=C1CCOC1=CC=CC=C1O[C@@H]([C@H]2CNC,O)NC3=C(C)C=CC=C3C)C=CC=C1CCOC1=C(O[C@@H]([C@H]2C[NH2+]CCO2)C3=C,1.2,1.51,9.5,7.85,1.8,2.95,0.38,0.21,0.08,0.18,0.98,0.90,0.26,0.47,-0.42,-0.68
998,CO2)C3=CC=CC=C3,C=CC=C3)C=CC=C1,0.65,0.82,0.82,2.20,10,5.42,0.019,0.08,0.19,-0.09,-0.09,0.34,1.00,0.73,-1.72,-1.09
999,CC(C)NCCCNC(=O)NC1=C(C)C=CC=C1CCNC(=O)C1=C[N](N=C1)C2=NC(=C3N=C[N],CC(C)[NH2+]CCCNC(=O)NC1=C(C)C=CC=C1CCNC(=O)C1=C[N](N=C1)C2=NC3=C(N=C[N]3[C@,1.4,1.76,4.5,5.64,5,3.47,0.86,0.66,0.15,0.25,0.65,0.75,0.70,0.54,-0.07,-0.18
1000,([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)C3=N2)NCCC(=O)N(C1=CC=CC=C1)C2(CCN(CCC(=O,@H]4O[C@H](CO)[C@@H](O)[C@H]4O)C(=N2)NCCC(=O)N(C1=CC=CC=C1)C2(CC[NH+](CCC(=O)O,0.94,1.12,7.3,6.20,2,2.50,0.7,0.48,0.03,0.05,0.86,0.79,0.30,0.40,-0.15,-0.32
1001,)OC)CC2)C(=O)OCCC(C)(C)[S](=O)(=O)C[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=C[NH]C=N2)C(=O),C)CC2)C(=O)OCCC(C)(C)[S](=O)(=O)C[C@H](CC1=CC=CC=C1)C(=,0.4,0.50,37,19.71,0.8,1.25,0.3,0.24,0.40,-0.30,1.57,1.29,-0.10,0.10,-0.52,-0.62
1002,N[C@@H](CC3CCCCC3)[C@@H](O)C(O)C4CC4COC(=O)CC[C@@H]1N=C(C2=NC=CC=C2),O)N[C@@H](CC2=C[NH]C=N2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)C4CC4COC(=O)CC[C@@H]1N=C(C2=NC=CC=C2)C3=C(C,0.77,0.97,11.6,7.11,5.2,4.71,0.056,0.04,0.11,-0.01,1.06,0.85,0.72,0.67,-1.25,-1.35
1003,C3=C(C=CC(=C3)Br)[N]4C(=CN=C14)CCCN1CCC[C@H]1CNC(=O)C2=C(OC)C=CC(,=CC(=C3)Br)[N]4C(=CN=C14)CCC[NH+]1CCC[C@H]1CNC(=O)C2=C(OC)C(=CC=C,0.44,0.55,15.02,8.06,0.75,1.64,,,0.36,-0.26,1.18,0.91,-0.12,0.21,,
1004,=C2OC)BrCCOC1=CC(=CC=C1C(O)=O)CC(=O)N[C@@,2OC)BrCCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C,0.65,0.82,1.7,3.00,5.5,5.43,0.16,0.19,0.19,-0.09,0.23,0.48,0.74,0.73,-0.80,-0.71
1005,H](CC(C)C)C2=CC=CC=C2N3CCCCC3O=C1N(CCCCNC[C@H]2CCC3=CC=CC=C3,2=C(C=CC=C2)N3CCCCC3)C([O-])=OO=C1N(CCCC[NH2+]C[C@H]2CCC3=C(O2)C=CC=,0.35,0.36,7.8,5.00,0.87,1.92,0.015,0.02,0.46,-0.44,0.89,0.70,-0.06,0.28,-1.82,-1.75
1006,O2)[S](=O)(=O)C4=CC=CC=C14COCCN1CCN(CC1)CC2=CC=C(C=C2)C3=N[,C3)[S](=O)(=O)C4=C1C=CC=C4COCC[NH+]1CC[NH+](CC1)CC2=CC=C(C=C2)C3=,0.21,0.26,2.2,3.12,1.2,2.22,,,0.68,-0.58,0.34,0.49,0.08,0.35,,
1007,NH]C4=C3C(=O)C5=C(NC(=O)NN6CCOCC6)C=CC=C45NC(=O)C1=N[N](C=N1)[C@@H]2O[C@H](C,N[NH]C4=C3C(=O)C5=C4C=CC=C5NC(=O)[N-]N6CCOCC6NC(=O)C1=N[N](C=N1)[C@@H]2O[C@@H](CO)[C,5.9,4.69,11.5,8.58,9.9,9.48,,,0.77,0.67,1.06,0.93,1.00,0.98,,
1008,O)[C@@H](O)[C@H]2ONC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O,@@H](O)[C@@H]2O[NH3+]C[C@@H]1O[C@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O)[C@H]2O[C@,14,4.13,5.2,6.50,45,9.76,1,0.89,1.15,0.62,0.72,0.81,1.65,0.99,0.00,-0.05
1009,[C@H](CO)[C@@H](O)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1OOC(=O)CCCCON=C(C1=CC=CN=C1)C2=CC,@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@H]([NH3+])[C@@H](O)[C@@H]1O[O-,0.25,0.27,1.5,1.48,2.5,3.03,,,0.60,-0.58,0.18,0.17,0.40,0.48,,
1010,=CC(=C2)C(F)(F)FCO[C@H]1C=CO[C@@]2(C)OC3=C(C)C(=C4C(=O)C(=C5NC6(CCN(CC6)CC(C)C)N=C5C,]C(=O)CCCCO\N=C(/C1=CN=CC=C1)C2=CC(=CC=C2)C(F)(F)FCO[C@H]1\C=C/O[C@@]2(C)OC3=C(C2=O)C4=C(C(=C3C)O)C(=O)C(=C5NC6(CC[NH+](CC6)CC(C)C),0.43,0.41,1.05,1.32,7.54,7.17,0.033,0.02,0.37,-0.38,0.02,0.12,0.88,0.86,-1.48,-1.64
1011,4=C3C2=O)NC(=O)C(=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C)OCO[C@H]1C=CO[C@@]2(C)OC3=C(C)C(=C,N=C45)NC(=O)\C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)CCO[C@H]1\C=C/O[C@@]2(C)OC3=C(C2=O)C4=C(,9.3,7.40,2.4,3.29,37,24.40,0.29,0.18,0.97,0.87,0.38,0.52,1.57,1.39,-0.54,-0.75
1012,4C(=C(NC(=O)C(=CC=C[C@H](C)[C@H](O)[C)C(=C2)NCC(O)=O)C(=C1)OC)OC,O)C(=C(NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@C2)NCC([O-])=O)C(=C1)OC)OC,0.97,1.11,3.5,4.15,3.8,6.39,0.2,0.16,0.01,0.05,0.54,0.62,0.58,0.81,-0.70,-0.79
1014,C1CN=C(NC(C2CC2)C3CC3)O1,C1CN=C(NC(C2CC2)C3CC3)O1,4.5,3.58,7.1,5.78,8.3,5.68,0.9,0.78,0.65,0.55,0.85,0.76,0.92,0.75,-0.05,-0.11
1015,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2COC(=O)N(C)C1=C(N)N=C(N=C1N)C2=N[N],NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2COC(=O)N(C)C1=C(N)N=C(N=C1N)C2=N[N](CC3=,3.5,2.78,11.3,6.55,,,0.04,0.05,0.54,0.44,1.05,0.82,,,-1.40,-1.26
1016,(CC3=CC=CC=C3F)C4=NC=CC=C24OC(CC1=CC=CN=C1)([P](O)(O)=O)[P](O)(O),C(F)C=CC=C3)C4=NC=CC=C24OC(CC1=CN=CC=C1)([P]([O-])([O-])=O)[P]([O-,0.44,0.55,0.74,1.23,9.1,8.60,,,0.36,-0.26,-0.13,0.09,0.96,0.93,,
1017,=OCC1=C(CCN2CCC(CC2)C3=NOC4=CC(=CC=,])([O-])=OCC1=C(CC[NH+]2CCC(CC2)C3=NOC4=CC(=CC=C3,6.3,1.95,1.5,1.60,200,40.01,0.76,0.59,0.80,0.29,0.18,0.21,2.30,1.60,-0.12,-0.23
1018,C34)F)C(=O)N5CCCCC5=N1CC1=C(CCN2CCC(CC2)=C(C3=CC=C(F)C=C,4)F)C(=O)N5CCCCC5=N1CC1=C(CC[NH+]2CC[C](CC2)=[C](C3=CC=C(F)C=,1.1,1.38,5.4,4.42,3.2,5.52,0.1,0.09,0.04,0.14,0.73,0.65,0.51,0.74,-1.00,-1.03
1019,3)C4=CC=C(F)C=C4)C(=O)N5C=CSC5=N1[Na+].C[C@@H](O)[C@@H]1[C@H]2SC(=C(,C3)C4=CC=C(F)C=C4)C(=O)N5C=CSC5=N1C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C([,1.41,1.78,0.51,1.07,40,29.24,0.008,0.01,0.15,0.25,-0.29,0.03,1.60,1.47,-2.10,-1.96
1020,N2C1=O)C([O-])=O)COC(N)=OC[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](,O-])=O)COC(N)=OC[C@@H]([NH2+]CCC1=CC=C(O)C=C1)[C@@H](,0.24,0.25,7.55,6.18,0.54,0.81,0.72,0.65,0.62,-0.60,0.88,0.79,-0.27,-0.09,-0.14,-0.19
1021,O)C2=CC=C(O)C=C2,O)C2=CC=C(O)C=C2,4.4,1.65,31,21.99,2.6,2.83,0.64,0.42,0.64,0.22,1.49,1.34,0.41,0.45,-0.19,-0.38
1022,2)C3=CC=C(C=C3)N4CCOCC4=OCCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(,CC=C(C=C3)N4CCOCC4=OCCN(C)C(=O)OC1=CC(=CC=C1)[C@H](C)[NH+](C),0.7,0.65,2.4,2.80,7,4.93,0.06,0.05,0.15,-0.18,0.38,0.45,0.85,0.69,-1.22,-1.27
1023,C)CCN(C)CCC1=C[NH]C2=CC=C(C[N]3C=NC=N,C[NH+](C)CCC1=C[NH]C2=C1C=C(C[N]3C=NC=N3,1.3,1.64,12,10.29,1.4,1.83,0.6,0.51,0.11,0.21,1.08,1.01,0.15,0.26,-0.22,-0.29
1024,3)C=C12,)C=C2,1.9,4.13,16,11.53,2.2,2.88,0.86,0.61,0.28,0.62,1.20,1.06,0.34,0.46,-0.07,-0.22
1025,O)=ONC1=NC(=CS1)C(=NO)C(=O)N[C@H]2[C@H,NC1=NC(=CS1)\C(=N/O)C(=O)N[C@H]2[C@H]3SC,0.3,0.38,3.7,2.49,3.3,3.67,0.1,0.05,0.52,-0.42,0.57,0.40,0.52,0.56,-1.00,-1.35
1026,]3SCC(=C(N3C2=O)C(O)=O)C=C4CCN(CC(F)(F)F)C4=OCC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C,C(=C(N3C2=O)C([O-])=O)\C=C4\CCN(CC(F)(F)F)C4=OCC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@,0.11,0.14,0.38,0.66,3.8,3.58,0.043,0.08,0.96,-0.86,-0.42,-0.18,0.58,0.55,-1.37,-1.10
1027,@H]3CC[C@]12C)N5CCOCC5)[N+]6(CCCC6)CC=CC[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)O,H]4C[C@H](O)[C@H](C[C@@]4(C)[C@H]3CC[C@]12C)[NH+]5CCOCC5)[N+]6(CCCC6)CC=CC[S](=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=,0.21,0.26,3.7,4.33,1.6,2.17,0.54,0.32,0.68,-0.58,0.57,0.64,0.20,0.34,-0.27,-0.50
1028,C2)C3=CC=CC=C3FC(F)OC1=CC=C(C=C1OCC2CC2)C(=O)NC3,CC=CC=C3,1.3,1.03,2,2.06,7.5,6.82,0.13,0.08,0.11,0.01,0.30,0.31,0.88,0.83,-0.89,-1.09
1029,C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2),C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)C[NH2,1.92,2.42,2.2,3.18,15.1,10.85,0.01,0.01,0.28,0.38,0.34,0.50,1.18,1.04,-2.00,-1.84
1030,CN1)C3=CC=CC=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)FCOC1=C(OC2CCCC2)C=C(C=C1)[C@@H]3C,+]1)C3=CC=CC=C3)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)FCOC1=C(OC2CCCC2)C=C(C=C1)[C@@H]3CNC(=O,,,0.38,1.01,148.5,53.61,0.002,0.01,,,-0.42,0.01,2.17,1.73,-2.70,-2.22
1031,NC(=O)C3CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C,)C3C[NH+](C)[C@H]1[C@H]2C[C@H]3C(=C([O-])[C@]2(O)C(=O)C(=C1[O-,0.67,0.75,6.3,8.21,7,5.31,0.11,0.16,0.17,-0.13,0.80,0.91,0.85,0.72,-0.96,-0.80
1032,@]2(O)C(=O)C(=C1O)C(=O)NCN4CCCC4)C(=O)C5=C(O)C=CC=C5[C@@]3(C)OCCCN1C(=O)N(CCC)C2=C([NH]C(=N2)[C]34,])C(=O)NC[NH+]4CCCC4)C(=O)C5=C(C=CC=C5O)[C@@]3(C)OCCCN1C(=O)N(CCC)C2=C([NH]C(=N2)[C]34C[C@,0.54,0.68,0.97,1.37,8.8,9.53,0.5,0.33,0.27,-0.17,-0.01,0.14,0.94,0.98,-0.30,-0.49
1033,CC5[CH2]C(C[CH]3C5)C4)C1=OCC=C1NC(=O)[C@H]2CSSCCC=C[C@H](CC,@H]5[CH2][C@H](C[CH]3C5)C4)C1=OC\C=C1\NC(=O)[C@H]2CSSCC\C=C/[C@H](CC(=O),4.3,3.42,5,4.57,18.1,12.79,,,0.63,0.53,0.70,0.66,1.26,1.11,,
1034,(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C1035CCCN(CCC)CCC1=CC=CC2=C1CC(=O)N2CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C,N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)CCCC[NH+](CCC)CCC1=C2CC(=O)NC2=CC=C1CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@@H]2O)[NH,1.2,0.95,7.4,6.00,11,6.24,0.07,0.10,0.08,-0.02,0.87,0.78,1.04,0.79,-1.15,-1.00
1038,@@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)C=C[C@]3(C)O[C@H]3[C@@H]1CCN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1),+](C)C)[C@@H](CC=O)C[C@@H](C)C(=O)\C=C\[C@@]3(C)O[C@H]3[C@@H]1CCN(CCOC1=CC=C(C[C@@H]2SC(=O)[N-,2.83,2.25,13.3,9.65,3.34,3.37,,,0.45,0.35,1.12,0.98,0.52,0.53,,
1039,C3=CC=CC=N3CC(C)C1=NC(=NC(=C1C=C[C@@H](O)C[C,]C2=O)C=C1)C3=NC=CC=C3CC(C)C1=C(\C=C/[C@@H](O)C[C@@H](O)CC([O-,0.2,0.25,0.65,1.12,3.9,4.63,0.002,0.01,0.70,-0.60,-0.19,0.05,0.59,0.67,-2.70,-2.14
1040,@@H](O)CC(O)=O)C2=CC=C(F)C=C2)N(C)[S](C)(=O)=OCCCN(CCC1=CC=CS1)[C@H]2CCC3=C(C2),])=O)C(=NC(=N1)N(C)[S](C)(=O)=O)C2=CC=C(F)C=C2CCC[NH+](CCC1=CC=CS1)[C@H]2CCC3=C(C2)C=,1.7,1.35,11,6.68,2,2.61,0.12,0.08,0.23,0.13,1.04,0.82,0.30,0.42,-0.92,-1.08
